Film_title,Director,Cast,Average_rating,Watches,Film_URL
My Neighbor Totoro,Hayao Miyazaki,"['Noriko Hidaka', 'Chika Sakamoto', 'Hitoshi Takagi']",4.19,1521621,https://letterboxd.com/film/my-neighbor-totoro/
Kung Fu Panda,"Mark Osborne, John Stevenson","['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",3.84,1519090,https://letterboxd.com/film/kung-fu-panda/
Zodiac,David Fincher,"['Jake Gyllenhaal', 'Mark Ruffalo', 'Anthony Edwards']",4.02,1514491,https://letterboxd.com/film/zodiac/
Jaws,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",3.97,1512320,https://letterboxd.com/film/jaws/
Poor Things,Yorgos Lanthimos,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe']",4.08,1526001,https://letterboxd.com/film/poor-things-2023/
Star Wars: Episode II – Attack of the Clones,George Lucas,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman']",2.8,1509386,https://letterboxd.com/film/star-wars-episode-ii-attack-of-the-clones/
Top Gun: Maverick,Joseph Kosinski,"['Tom Cruise', 'Miles Teller', 'Jon Hamm']",3.99,1510903,https://letterboxd.com/film/top-gun-maverick/
E.T. the Extra-Terrestrial,Steven Spielberg,"['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton']",3.85,1499179,https://letterboxd.com/film/et-the-extra-terrestrial/
Nightcrawler,Dan Gilroy,"['Jake Gyllenhaal', 'Riz Ahmed', 'Rene Russo']",4.04,1493794,https://letterboxd.com/film/nightcrawler/
How to Train Your Dragon,"Chris Sanders, Dean DeBlois","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",4.01,1494642,https://letterboxd.com/film/how-to-train-your-dragon/
Clueless,Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",3.72,1491281,https://letterboxd.com/film/clueless/
Memento,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",4.17,1489386,https://letterboxd.com/film/memento/
Edward Scissorhands,Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest']",3.86,1484921,https://letterboxd.com/film/edward-scissorhands/
Scream,Wes Craven,"['David Arquette', 'Neve Campbell', 'Courteney Cox']",4.02,1480458,https://letterboxd.com/film/scream/
The Hangover,Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']",3.59,1477261,https://letterboxd.com/film/the-hangover/
The Hunger Games: Mockingjay – Part 1,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",3.19,1455766,https://letterboxd.com/film/the-hunger-games-mockingjay-part-1/
Wonder Woman,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Connie Nielsen']",3.28,1450627,https://letterboxd.com/film/wonder-woman-2017/
Reservoir Dogs,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",4.15,1435501,https://letterboxd.com/film/reservoir-dogs/
Alien,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'Ian Holm']",4.28,1433167,https://letterboxd.com/film/alien/
Uncut Gems,"Josh Safdie, Benny Safdie","['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox']",3.95,1426633,https://letterboxd.com/film/uncut-gems/
Ferris Bueller's Day Off,John Hughes,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara']",3.93,1426346,https://letterboxd.com/film/ferris-buellers-day-off/
Guardians of the Galaxy Vol. 3,James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista']",3.97,1428701,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
The Great Gatsby,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",3.38,1418288,https://letterboxd.com/film/the-great-gatsby-2013/
Prisoners,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Terrence Howard']",4.29,1419235,https://letterboxd.com/film/prisoners/
Tenet,Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki']",3.4,1406957,https://letterboxd.com/film/tenet/
Marriage Story,Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Laura Dern']",4.0,1404168,https://letterboxd.com/film/marriage-story-2019/
Star Wars: The Rise of Skywalker,J.J. Abrams,"['Carrie Fisher', 'Mark Hamill', 'Daisy Ridley']",2.36,1399660,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/
Logan,James Mangold,"['Hugh Jackman', 'Dafne Keen', 'Patrick Stewart']",4.1,1396632,https://letterboxd.com/film/logan-2017/
Thor: The Dark World,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",2.22,1394759,https://letterboxd.com/film/thor-the-dark-world/
Juno,Jason Reitman,"['Elliot Page', 'Michael Cera', 'Jennifer Garner']",3.73,1384904,https://letterboxd.com/film/juno/
Kingsman: The Secret Service,Matthew Vaughn,"['Colin Firth', 'Samuel L. Jackson', 'Mark Strong']",3.72,1377223,https://letterboxd.com/film/kingsman-the-secret-service/
Mamma Mia!,Phyllida Lloyd,"['Meryl Streep', 'Pierce Brosnan', 'Colin Firth']",3.74,1373740,https://letterboxd.com/film/mamma-mia/
Black Widow,Cate Shortland,"['Scarlett Johansson', 'Florence Pugh', 'Rachel Weisz']",2.93,1369895,https://letterboxd.com/film/black-widow-2021/
The Amazing Spider-Man 2,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",2.89,1355403,https://letterboxd.com/film/the-amazing-spider-man-2/
The Prestige,Christopher Nolan,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']",4.23,1353055,https://letterboxd.com/film/the-prestige/
Raiders of the Lost Ark,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']",4.16,1350721,https://letterboxd.com/film/raiders-of-the-lost-ark/
Blade Runner,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']",4.1,1350091,https://letterboxd.com/film/blade-runner/
Moonlight,Barry Jenkins,"['Trevante Rhodes', 'André Holland', 'Janelle Monáe']",4.2,1345450,https://letterboxd.com/film/moonlight-2016/
The Revenant,Alejandro González Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson']",3.87,1341605,https://letterboxd.com/film/the-revenant-2015/
A Clockwork Orange,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",4.13,1337749,https://letterboxd.com/film/a-clockwork-orange/
Brave,"Brenda Chapman, Mark Andrews","['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly']",3.33,1338246,https://letterboxd.com/film/brave-2012/
Wreck-It Ralph,Rich Moore,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",3.57,1334242,https://letterboxd.com/film/wreck-it-ralph/
Dune: Part Two,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson']",4.51,1347921,https://letterboxd.com/film/dune-part-two/
Ice Age,Chris Wedge,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",3.51,1321540,https://letterboxd.com/film/ice-age/
Bullet Train,David Leitch,"['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson']",3.53,1323426,https://letterboxd.com/film/bullet-train/
Encanto,"Byron Howard, Jared Bush","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo']",3.53,1318831,https://letterboxd.com/film/encanto/
The Conjuring,James Wan,"['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor']",3.56,1314240,https://letterboxd.com/film/the-conjuring/
The Hunger Games: Mockingjay – Part 2,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",3.27,1313835,https://letterboxd.com/film/the-hunger-games-mockingjay-part-2/
Fantastic Beasts and Where to Find Them,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']",3.13,1309513,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
Kill Bill: Vol. 2,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",4.05,1310731,https://letterboxd.com/film/kill-bill-vol-2/
Ex Machina,Alex Garland,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac']",3.99,1304577,https://letterboxd.com/film/ex-machina-2015/
School of Rock,Richard Linklater,"['Jack Black', 'Joan Cusack', 'Mike White']",3.75,1304055,https://letterboxd.com/film/school-of-rock/
Jurassic World,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",3.01,1303152,https://letterboxd.com/film/jurassic-world/
Saving Private Ryan,Steven Spielberg,"['Tom Hanks', 'Tom Sizemore', 'Edward Burns']",4.23,1301700,https://letterboxd.com/film/saving-private-ryan/
The Suicide Squad,James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena']",3.51,1300514,https://letterboxd.com/film/the-suicide-squad/
Despicable Me,"Pierre Coffin, Chris Renaud","['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier']",3.52,1300463,https://letterboxd.com/film/despicable-me/
Ant-Man and the Wasp,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña']",2.9,1298856,https://letterboxd.com/film/ant-man-and-the-wasp/
Alice in Wonderland,Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",3.05,1295839,https://letterboxd.com/film/alice-in-wonderland-2010/
Mulan,"Tony Bancroft, Barry Cook","['Ming-Na Wen', 'Eddie Murphy', 'BD Wong']",4.09,1295275,https://letterboxd.com/film/mulan/
Finding Dory,Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', '""Ed ONeill""']",3.24,1288964,https://letterboxd.com/film/finding-dory/
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"['Simu Liu', 'Awkwafina', '""Menger Zhang""']",3.46,1283927,https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/
Aladdin,"Ron Clements, John Musker","['Scott Weinger', 'Robin Williams', 'Linda Larkin']",3.88,1278885,https://letterboxd.com/film/aladdin/
2001: A Space Odyssey,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",4.3,1274592,https://letterboxd.com/film/2001-a-space-odyssey/
Toy Story 4,Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts']",3.43,1274730,https://letterboxd.com/film/toy-story-4/
The Lego Movie,"Phil Lord, Christopher Miller","['Chris Pratt', 'Elizabeth Banks', 'Will Ferrell']",3.79,1265519,https://letterboxd.com/film/the-lego-movie/
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"['Michael Keaton', 'Emma Stone', 'Zach Galifianakis']",3.99,1256283,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
The Lighthouse,Robert Eggers,"['Robert Pattinson', 'Willem Dafoe', 'Valeriia Karaman']",4.04,1252775,https://letterboxd.com/film/the-lighthouse-2019/
The Departed,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",4.3,1248409,https://letterboxd.com/film/the-departed/
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",3.6,1248975,https://letterboxd.com/film/pirates-of-the-caribbean-dead-mans-chest/
Thor: Love and Thunder,Taika Waititi,"['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",2.49,1247429,https://letterboxd.com/film/thor-love-and-thunder/
The Notebook,Nick Cassavetes,"['Ryan Gosling', 'Rachel McAdams', 'Gena Rowlands']",3.67,1249611,https://letterboxd.com/film/the-notebook/
Léon: The Professional,Luc Besson,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']",4.03,1244728,https://letterboxd.com/film/leon-the-professional/
Zombieland,Ruben Fleischer,"['Jesse Eisenberg', 'Woody Harrelson', 'Emma Stone']",3.53,1239047,https://letterboxd.com/film/zombieland/
Venom,Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']",2.83,1233651,https://letterboxd.com/film/venom-2018/
Madagascar,"Eric Darnell, Tom McGrath","['Ben Stiller', 'Chris Rock', 'David Schwimmer']",3.47,1229052,https://letterboxd.com/film/madagascar/
American Beauty,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",3.96,1224146,https://letterboxd.com/film/american-beauty/
Psycho,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",4.32,1219397,https://letterboxd.com/film/psycho/
Gladiator,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",4.1,1220270,https://letterboxd.com/film/gladiator-2000/
Pride & Prejudice,Joe Wright,"['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn']",4.1,1216217,https://letterboxd.com/film/pride-prejudice/
Puss in Boots: The Last Wish,Joel Crawford,"['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén']",4.15,1212131,https://letterboxd.com/film/puss-in-boots-the-last-wish/
The Big Lebowski,Joel Coen,"['Jeff Bridges', 'John Goodman', 'Julianne Moore']",4.13,1209534,https://letterboxd.com/film/the-big-lebowski/
Bird Box,Susanne Bier,"['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich']",2.85,1209307,https://letterboxd.com/film/bird-box/
Monsters University,Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",3.37,1202990,https://letterboxd.com/film/monsters-university/
The Witch,Robert Eggers,"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie']",3.84,1200054,https://letterboxd.com/film/the-witch-2015/
Corpse Bride,"Tim Burton, Mike Johnson","['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson']",3.8,1202183,https://letterboxd.com/film/corpse-bride/
Schindler's List,Steven Spielberg,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",4.52,1198990,https://letterboxd.com/film/schindlers-list/
Legally Blonde,Robert Luketic,"['Reese Witherspoon', 'Luke Wilson', 'Selma Blair']",3.77,1196035,https://letterboxd.com/film/legally-blonde/
Requiem for a Dream,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",4.1,1184640,https://letterboxd.com/film/requiem-for-a-dream/
Night at the Museum,Shawn Levy,"['Ben Stiller', 'Carla Gugino', 'Dick Van Dyke']",3.25,1182622,https://letterboxd.com/film/night-at-the-museum/
Easy A,Will Gluck,"['Emma Stone', 'Penn Badgley', 'Amanda Bynes']",3.41,1182587,https://letterboxd.com/film/easy-a/
The Imitation Game,Morten Tyldum,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']",3.79,1177132,https://letterboxd.com/film/the-imitation-game/
Princess Mononoke,Hayao Miyazaki,"['Youji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']",4.37,1173183,https://letterboxd.com/film/princess-mononoke/
21 Jump Street,"Phil Lord, Christopher Miller","['Jonah Hill', 'Channing Tatum', 'Brie Larson']",3.58,1167534,https://letterboxd.com/film/21-jump-street/
Lost in Translation,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi']",3.84,1166129,https://letterboxd.com/film/lost-in-translation/
The Super Mario Bros. Movie,"Michael Jelenic, Aaron Horvath","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day']",3.27,1164697,https://letterboxd.com/film/the-super-mario-bros-movie/
Ocean's Eleven,Steven Soderbergh,"['George Clooney', 'Matt Damon', 'Andy García']",3.89,1162735,https://letterboxd.com/film/oceans-eleven-2001/
Amélie,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",4.16,1152402,https://letterboxd.com/film/amelie/
The Hateful Eight,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']",3.94,1149426,https://letterboxd.com/film/the-hateful-eight/
Luca,Enrico Casarosa,"['Jacob Tremblay', 'Jack Dylan Grazer', 'Emma Berman']",3.74,1148609,https://letterboxd.com/film/luca-2021/
The Shape of Water,Guillermo del Toro,"['Sally Hawkins', 'Michael Shannon', 'Richard Jenkins']",3.67,1141330,https://letterboxd.com/film/the-shape-of-water/
Shaun of the Dead,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Kate Ashfield']",3.98,1139221,https://letterboxd.com/film/shaun-of-the-dead/
Pitch Perfect,Jason Moore,"['Anna Kendrick', 'Brittany Snow', 'Anna Camp']",3.46,1139277,https://letterboxd.com/film/pitch-perfect/
Back to the Future Part II,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",3.86,1128583,https://letterboxd.com/film/back-to-the-future-part-ii/
Men in Black,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino']",3.64,1128609,https://letterboxd.com/film/men-in-black/
X,Ti West,"['Mia Goth', 'Martin Henderson', 'Kid Cudi']",3.42,1128756,https://letterboxd.com/film/x-2022/
It Chapter Two,Andy Muschietti,"['Jessica Chastain', 'James McAvoy', 'Bill Hader']",2.88,1120203,https://letterboxd.com/film/it-chapter-two/
Beauty and the Beast,"Gary Trousdale, Kirk Wise","['""Paige OHara""', 'Robby Benson', 'Richard White']",3.88,1118477,https://letterboxd.com/film/beauty-and-the-beast-1991/
BlacKkKlansman,Spike Lee,"['John David Washington', 'Adam Driver', 'Topher Grace']",3.94,1114159,https://letterboxd.com/film/blackkklansman/
The Hobbit: An Unexpected Journey,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",3.45,1114098,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
Fargo,Joel Coen,"['Frances McDormand', 'William H. Macy', 'Steve Buscemi']",4.22,1113346,https://letterboxd.com/film/fargo/
Ghostbusters,Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']",3.76,1113661,https://letterboxd.com/film/ghostbusters/
The Sixth Sense,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",4.02,1111942,https://letterboxd.com/film/the-sixth-sense/
A Star Is Born,Bradley Cooper,"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott']",3.61,1111495,https://letterboxd.com/film/a-star-is-born-2018/
Now You See Me,Louis Leterrier,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",3.31,1112237,https://letterboxd.com/film/now-you-see-me/
Scarface,Brian De Palma,"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer']",4.11,1110284,https://letterboxd.com/film/scarface-1983/
Gravity,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris']",3.5,1106913,https://letterboxd.com/film/gravity-2013/
Silver Linings Playbook,David O. Russell,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro']",3.67,1106482,https://letterboxd.com/film/silver-linings-playbook/
Ready Player One,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']",3.23,1105367,https://letterboxd.com/film/ready-player-one/
Moonrise Kingdom,Wes Anderson,"['Jared Gilman', 'Kara Hayward', 'Bruce Willis']",4.02,1102642,https://letterboxd.com/film/moonrise-kingdom/
"I, Tonya",Craig Gillespie,"['Margot Robbie', 'Sebastian Stan', 'Allison Janney']",3.85,1101342,https://letterboxd.com/film/i-tonya/
Skyfall,Sam Mendes,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",3.9,1098148,https://letterboxd.com/film/skyfall/
Life of Pi,Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']",3.71,1094192,https://letterboxd.com/film/life-of-pi/
Grease,Randal Kleiser,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",3.47,1094208,https://letterboxd.com/film/grease/
Home Alone 2: Lost in New York,Chris Columbus,"['Macaulay Culkin', 'Daniel Stern', 'Joe Pesci']",3.46,1091192,https://letterboxd.com/film/home-alone-2-lost-in-new-york/
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"['Georgie Henley', 'Skandar Keynes', 'William Moseley']",3.49,1089262,https://letterboxd.com/film/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe/
Die Hard,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Alexander Godunov']",4.07,1086946,https://letterboxd.com/film/die-hard/
The Godfather: Part II,Francis Ford Coppola,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']",4.59,1082355,https://letterboxd.com/film/the-godfather-part-ii/
13 Going on 30,Gary Winick,"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer']",3.56,1080322,https://letterboxd.com/film/13-going-on-30/
Elf,Jon Favreau,"['Will Ferrell', 'James Caan', 'Bob Newhart']",3.43,1073220,https://letterboxd.com/film/elf/
The Emperor's New Groove,Mark Dindal,"['David Spade', 'John Goodman', 'Eartha Kitt']",3.87,1069010,https://letterboxd.com/film/the-emperors-new-groove/
Megamind,Tom McGrath,"['Will Ferrell', 'Tina Fey', 'Jonah Hill']",3.68,1067981,https://letterboxd.com/film/megamind/
X-Men: Days of Future Past,Bryan Singer,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",3.62,1065102,https://letterboxd.com/film/x-men-days-of-future-past/
The Princess Diaries,Garry Marshall,"['Anne Hathaway', 'Julie Andrews', 'Patrick John Flueger']",3.63,1056555,https://letterboxd.com/film/the-princess-diaries/
Jumanji: Welcome to the Jungle,Jake Kasdan,"['Dwayne Johnson', 'Kevin Hart', 'Jack Black']",3.07,1055232,https://letterboxd.com/film/jumanji-welcome-to-the-jungle/
"Crazy, Stupid, Love.","Glenn Ficarra, John Requa","['Steve Carell', 'Ryan Gosling', 'Julianne Moore']",3.65,1053634,https://letterboxd.com/film/crazy-stupid-love/
Your Name.,Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",4.21,1051758,https://letterboxd.com/film/your-name/
A Bug's Life,John Lasseter,"['Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus']",3.44,1046042,https://letterboxd.com/film/a-bugs-life/
Beetlejuice,Tim Burton,"['Alec Baldwin', 'Geena Davis', 'Jeffrey Jones']",3.77,1043170,https://letterboxd.com/film/beetlejuice/
Lilo & Stitch,"Chris Sanders, Dean DeBlois","['Daveigh Chase', 'Chris Sanders', 'Tia Carrere']",3.98,1042333,https://letterboxd.com/film/lilo-stitch/
The Curious Case of Benjamin Button,David Fincher,"['Brad Pitt', 'Cate Blanchett', 'Taraji P. Henson']",3.61,1038087,https://letterboxd.com/film/the-curious-case-of-benjamin-button/
John Wick: Chapter 2,Chad Stahelski,"['Keanu Reeves', 'Common', 'Ian McShane']",3.69,1037058,https://letterboxd.com/film/john-wick-chapter-2/
Turning Red,Domee Shi,"['Rosalie Chiang', 'Sandra Oh', 'Ava Morse']",3.53,1036730,https://letterboxd.com/film/turning-red/
The Nice Guys,Shane Black,"['Ryan Gosling', 'Russell Crowe', 'Angourie Rice']",3.82,1036782,https://letterboxd.com/film/the-nice-guys/
Eternals,Chloé Zhao,"['Gemma Chan', 'Richard Madden', 'Angelina Jolie']",2.75,1034329,https://letterboxd.com/film/eternals/
Pirates of the Caribbean: At World's End,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",3.4,1034197,https://letterboxd.com/film/pirates-of-the-caribbean-at-worlds-end/
Squid Game,Hwang Dong-hyuk,"['Lee Jung-jae', 'Wi Ha-jun', 'Park Hae-soo']",3.74,1029373,https://letterboxd.com/film/squid-game/
V for Vendetta,James McTeigue,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea']",3.84,1028005,https://letterboxd.com/film/v-for-vendetta/
Trainspotting,Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",4.2,1028446,https://letterboxd.com/film/trainspotting/
Black Panther: Wakanda Forever,Ryan Coogler,"['Letitia Wright', 'Tenoch Huerta Mejía', '""Lupita Nyongo""']",3.37,1020716,https://letterboxd.com/film/black-panther-wakanda-forever/
Pan's Labyrinth,Guillermo del Toro,"['Ivana Baquero', 'Sergi López', 'Maribel Verdú']",4.17,1018932,https://letterboxd.com/film/pans-labyrinth/
The Banshees of Inisherin,Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon']",4.11,1019233,https://letterboxd.com/film/the-banshees-of-inisherin/
The Lobster,Yorgos Lanthimos,"['Colin Farrell', 'Rachel Weisz', 'Olivia Colman']",3.79,1018848,https://letterboxd.com/film/the-lobster/
The Little Mermaid,"Ron Clements, John Musker","['Jodi Benson', 'Samuel E. Wright', 'Pat Carroll']",3.67,1006448,https://letterboxd.com/film/the-little-mermaid/
Oldboy,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jung']",4.39,1005847,https://letterboxd.com/film/oldboy/
How the Grinch Stole Christmas,Ron Howard,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor']",3.42,1003453,https://letterboxd.com/film/how-the-grinch-stole-christmas-2000/
Halloween,John Carpenter,"['Donald Pleasence', 'Jamie Lee Curtis', 'P.J. Soles']",3.81,1001997,https://letterboxd.com/film/halloween-1978/
Matilda,Danny DeVito,"['Mara Wilson', 'Danny DeVito', 'Rhea Perlman']",3.7,998189,https://letterboxd.com/film/matilda/
Batman v Superman: Dawn of Justice,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg']",2.41,994639,https://letterboxd.com/film/batman-v-superman-dawn-of-justice/
Shrek the Third,Chris Miller,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",2.79,995138,https://letterboxd.com/film/shrek-the-third/
Don't Worry Darling,Olivia Wilde,"['Florence Pugh', 'Harry Styles', 'Chris Pine']",2.95,990250,https://letterboxd.com/film/dont-worry-darling/
The Parent Trap,Nancy Meyers,"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson']",3.67,990962,https://letterboxd.com/film/the-parent-trap-1998/
The Maze Runner,Wes Ball,"['""Dylan OBrien""', 'Kaya Scodelario', 'Ki Hong Lee']",3.29,988367,https://letterboxd.com/film/the-maze-runner/
The Queen's Gambit,Scott Frank,"['Anya Taylor-Joy', 'Chloe Pirrie']",4.23,983261,https://letterboxd.com/film/the-queens-gambit/
About Time,Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy']",4.0,982912,https://letterboxd.com/film/about-time/
Ted,Seth MacFarlane,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane']",2.95,981061,https://letterboxd.com/film/ted/
Past Lives,Celine Song,"['Greta Lee', 'Teo Yoo', 'John Magaro']",4.19,982514,https://letterboxd.com/film/past-lives/
There Will Be Blood,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', '""Kevin J. OConnor""']",4.45,978769,https://letterboxd.com/film/there-will-be-blood/
Cruella,Craig Gillespie,"['Emma Stone', 'Emma Thompson', 'Joel Fry']",3.43,977182,https://letterboxd.com/film/cruella/
Hercules,"Ron Clements, John Musker","['Tate Donovan', 'Josh Keaton', 'Roger Bart']",3.78,971594,https://letterboxd.com/film/hercules-1997/
Jennifer's Body,Karyn Kusama,"['Megan Fox', 'Amanda Seyfried', 'Johnny Simmons']",3.42,988159,https://letterboxd.com/film/jennifers-body/
Booksmart,Olivia Wilde,"['Beanie Feldstein', 'Kaitlyn Dever', 'Skyler Gisondo']",3.75,965242,https://letterboxd.com/film/booksmart/
The Green Mile,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",4.21,962674,https://letterboxd.com/film/the-green-mile/
Love Actually,Richard Curtis,"['Alan Rickman', 'Bill Nighy', 'Colin Firth']",3.44,961795,https://letterboxd.com/film/love-actually/
