Film_title,Director,Cast,Average_rating,Watches,Film_URL
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",4.09,2510839,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
Deadpool,Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']",3.67,2507107,https://letterboxd.com/film/deadpool/
Django Unchained,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",4.27,2503977,https://letterboxd.com/film/django-unchained/
Baby Driver,Edgar Wright,"['Ansel Elgort', 'Kevin Spacey', 'Lily James']",3.72,2509370,https://letterboxd.com/film/baby-driver/
The Grand Budapest Hotel,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Tony Revolori']",4.24,2486014,https://letterboxd.com/film/the-grand-budapest-hotel/
The Matrix,"Lilly Wachowski, Lana Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",4.16,2475655,https://letterboxd.com/film/the-matrix/
Lady Bird,Greta Gerwig,"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts']",3.86,2472236,https://letterboxd.com/film/lady-bird/
The Incredibles,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",4.07,2468597,https://letterboxd.com/film/the-incredibles/
Avatar,James Cameron,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver']",3.57,2453778,https://letterboxd.com/film/avatar/
The Social Network,David Fincher,"['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer']",3.95,2443647,https://letterboxd.com/film/the-social-network/
Once Upon a Time… in Hollywood,Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie']",3.76,2434682,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Oppenheimer,Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",4.24,2430969,https://letterboxd.com/film/oppenheimer-2023/
"Monsters, Inc.",Pete Docter,"['John Goodman', 'Billy Crystal', 'Mary Gibbs']",4.07,2412232,https://letterboxd.com/film/monsters-inc/
Shrek,"Andrew Adamson, Vicky Jenson","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",4.07,2405273,https://letterboxd.com/film/shrek/
Coco,Lee Unkrich,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",4.12,2394409,https://letterboxd.com/film/coco-2017/
Shutter Island,Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley']",4.11,2389380,https://letterboxd.com/film/shutter-island/
The Hunger Games,Gary Ross,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",3.64,2384043,https://letterboxd.com/film/the-hunger-games/
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",4.36,2348636,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
Back to the Future,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover']",4.2,2348027,https://letterboxd.com/film/back-to-the-future/
