Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
Forrest Gump,Robert Zemeckis,4.12,3049607,https://a.ltrbxd.com/resized/film-poster/2/7/0/4/2704-forrest-gump-0-1000-0-1500-crop.jpg?v=173bc04cf0,Tom Hanks,Robin Wright,Gary Sinise
The Truman Show,Peter Weir,4.21,3055519,https://a.ltrbxd.com/resized/sm/upload/xx/io/jp/45/the-truman-show-0-1000-0-1500-crop.jpg?v=704ba393f7,Jim Carrey,Laura Linney,Noah Emmerich
Ratatouille,Brad Bird,4.2,3039201,https://a.ltrbxd.com/resized/sm/upload/n8/rl/pc/se/jEiEU8viSb8CIIHcfprVr2V6XDz-0-1000-0-1500-crop.jpg?v=25e13045f0,Patton Oswalt,Lou Romano,Ian Holm
Avengers: Endgame,"Anthony Russo, Joe Russo",3.87,2934405,https://a.ltrbxd.com/resized/film-poster/2/2/6/6/6/0/226660-avengers-endgame-0-1000-0-1500-crop.jpg?v=250ab286a3,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Guardians of the Galaxy,James Gunn,3.78,2892978,https://a.ltrbxd.com/resized/film-poster/9/3/6/7/6/93676-guardians-of-the-galaxy-0-1000-0-1500-crop.jpg?v=3cc8cb967f,Chris Pratt,Zoe Saldaña,Dave Bautista
Up,Pete Docter,4.09,2863352,https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-1000-0-1500-crop.jpg?v=eac6a19a4c,Ed Asner,Christopher Plummer,Jordan Nagai
Whiplash,Damien Chazelle,4.43,2802594,https://a.ltrbxd.com/resized/sm/upload/cl/dn/kr/f1/4C9LHDxMsoYI0S3iMPZdm3Oevwo-0-1000-0-1500-crop.jpg?v=d13ea36528,Miles Teller,J.K. Simmons,Paul Reiser
Black Panther,Ryan Coogler,3.64,2783697,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/3/209383-black-panther-0-1000-0-1500-crop.jpg?v=d6e7e2c7a4,Chadwick Boseman,Michael B. Jordan,Lupita Nyongo
Everything Everywhere All at Once,"Daniel Scheinert, Daniel Kwan",4.31,2783999,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-1000-0-1500-crop.jpg?v=281f1a041e,Michelle Yeoh,Stephanie Hsu,Ke Huy Quan
The Batman,Matt Reeves,3.98,2778218,https://a.ltrbxd.com/resized/film-poster/3/4/8/9/1/4/348914-the-batman-0-1000-0-1500-crop.jpg?v=ec12a8b7ce,Robert Pattinson,Zoë Kravitz,Paul Dano
Midsommar,Ari Aster,3.78,2753063,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-1000-0-1500-crop.jpg?v=ed7b8ded1f,Florence Pugh,Jack Reynor,William Jackson Harper
Spider-Man: No Way Home,Jon Watts,3.85,2756443,https://a.ltrbxd.com/resized/film-poster/5/6/0/7/8/7/560787-spider-man-no-way-home-0-1000-0-1500-crop.jpg?v=a336d4f40c,Tom Holland,Zendaya,Benedict Cumberbatch
Inside Out,Pete Docter,3.82,2703950,https://a.ltrbxd.com/resized/film-poster/1/1/3/2/8/4/113284-inside-out-0-1000-0-1500-crop.jpg?v=de03b9b6ef,Amy Poehler,Phyllis Smith,Bill Hader
Spirited Away,Hayao Miyazaki,4.46,2650848,https://a.ltrbxd.com/resized/film-poster/5/1/9/2/1/51921-spirited-away-0-1000-0-1500-crop.jpg?v=a3ad463c55,Rumi Hiiragi,Miyu Irino,Mari Natsuki
Dune,Denis Villeneuve,3.9,2662937,https://a.ltrbxd.com/resized/sm/upload/nx/8b/vs/gc/cDbNAY0KM84cxXhmj8f0dLWza3t-0-1000-0-1500-crop.jpg?v=49eed12751,Timothée Chalamet,Rebecca Ferguson,Oscar Isaac
Titanic,James Cameron,3.8,2644277,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-1000-0-1500-crop.jpg?v=7517ea94ce,Leonardo DiCaprio,Kate Winslet,Billy Zane
American Psycho,Mary Harron,3.86,2603036,https://a.ltrbxd.com/resized/sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-1000-0-1500-crop.jpg?v=8126850315,Christian Bale,Willem Dafoe,Jared Leto
Inglourious Basterds,Quentin Tarantino,4.34,2593337,https://a.ltrbxd.com/resized/film-poster/4/1/3/5/2/41352-inglourious-basterds-0-1000-0-1500-crop.jpg?v=0c74c673e0,Brad Pitt,Mélanie Laurent,Christoph Waltz
The Shining,Stanley Kubrick,4.24,2552298,https://a.ltrbxd.com/resized/sm/upload/7s/m2/bw/d0/caoYMcjUamGoBVy65i1AHJBvdzw-0-1000-0-1500-crop.jpg?v=88d9d6cce4,Jack Nicholson,Shelley Duvall,Danny Lloyd
Toy Story,John Lasseter,4.13,2552343,https://a.ltrbxd.com/resized/film-poster/5/1/2/9/0/51290-toy-story-0-1000-0-1500-crop.jpg?v=0ce275d722,Tom Hanks,Tim Allen,Don Rickles
WALL·E,Andrew Stanton,4.19,2553210,https://a.ltrbxd.com/resized/film-poster/4/5/9/9/4/45994-walle-0-1000-0-1500-crop.jpg?v=ad27f0ceac,Ben Burtt,Elissa Knight,Jeff Garlin
Gone Girl,David Fincher,4.07,2550096,https://a.ltrbxd.com/resized/film-poster/1/4/9/8/5/7/149857-gone-girl-0-1000-0-1500-crop.jpg?v=09a7c91f68,Ben Affleck,Rosamund Pike,Neil Patrick Harris
Finding Nemo,Andrew Stanton,4.04,2548170,https://a.ltrbxd.com/resized/film-poster/2/7/0/5/2705-finding-nemo-0-1000-0-1500-crop.jpg?v=b329bc5740,Albert Brooks,Ellen DeGeneres,Alexander Gould
The Avengers,Joss Whedon,3.64,2527895,https://a.ltrbxd.com/resized/sm/upload/10/u6/42/pa/cezWGskPY5x7GaglTTRN4Fugfb8-0-1000-0-1500-crop.jpg?v=9ec74891d9,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Harry Potter and the Philosopher's Stone,Chris Columbus,3.75,2523680,https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-1000-0-1500-crop.jpg?v=0053b4ed93,Daniel Radcliffe,Rupert Grint,Emma Watson
Spider-Man: Homecoming,Jon Watts,3.47,2519316,https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-1000-0-1500-crop.jpg?v=61e8c57229,Tom Holland,Michael Keaton,Robert Downey Jr.
Baby Driver,Edgar Wright,3.72,2509695,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-1000-0-1500-crop.jpg?v=61304ddfc8,Ansel Elgort,Kevin Spacey,Lily James
Django Unchained,Quentin Tarantino,4.27,2504152,https://a.ltrbxd.com/resized/film-poster/5/2/5/1/6/52516-django-unchained-0-1000-0-1500-crop.jpg?v=f02aed63a3,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
Deadpool,Tim Miller,3.67,2507277,https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-1000-0-1500-crop.jpg?v=2f726ea9b3,Ryan Reynolds,Morena Baccarin,Ed Skrein
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,4.09,2511067,https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-1000-0-1500-crop.jpg?v=6285ee260e,Daniel Radcliffe,Rupert Grint,Emma Watson
The Grand Budapest Hotel,Wes Anderson,4.24,2486165,https://a.ltrbxd.com/resized/film-poster/9/5/1/1/3/95113-the-grand-budapest-hotel-0-1000-0-1500-crop.jpg?v=6ac71cf4ba,Ralph Fiennes,F. Murray Abraham,Tony Revolori
The Matrix,"Lilly Wachowski, Lana Wachowski",4.16,2475829,https://a.ltrbxd.com/resized/film-poster/5/1/5/1/8/51518-the-matrix-0-1000-0-1500-crop.jpg?v=fc7c366afe,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Lady Bird,Greta Gerwig,3.86,2472454,https://a.ltrbxd.com/resized/film-poster/3/2/6/2/7/9/326279-lady-bird-0-1000-0-1500-crop.jpg?v=754ff28eb4,Saoirse Ronan,Laurie Metcalf,Tracy Letts
The Incredibles,Brad Bird,4.07,2468775,https://a.ltrbxd.com/resized/film-poster/4/6/8/0/6/46806-the-incredibles-0-1000-0-1500-crop.jpg?v=dce597a185,Craig T. Nelson,Holly Hunter,Sarah Vowell
Avatar,James Cameron,3.57,2453959,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-1000-0-1500-crop.jpg?v=0bb5ec98ec,Sam Worthington,Zoe Saldaña,Sigourney Weaver
The Social Network,David Fincher,3.95,2443802,https://a.ltrbxd.com/resized/sm/upload/nw/cm/pa/ai/sGQv3ZMZBDBnl3z42Q0mEQ5uiDe-0-1000-0-1500-crop.jpg?v=54ee59f7cd,Jesse Eisenberg,Andrew Garfield,Armie Hammer
Once Upon a Time… in Hollywood,Quentin Tarantino,3.76,2434854,https://a.ltrbxd.com/resized/film-poster/3/9/7/8/5/9/397859-once-upon-a-time-in-hollywood-0-1000-0-1500-crop.jpg?v=f3e8612854,Leonardo DiCaprio,Brad Pitt,Margot Robbie
Oppenheimer,Christopher Nolan,4.24,2431304,https://a.ltrbxd.com/resized/film-poster/7/8/4/3/2/8/784328-oppenheimer-0-1000-0-1500-crop.jpg?v=e3c6e7a32c,Cillian Murphy,Emily Blunt,Matt Damon
"Monsters, Inc.",Pete Docter,4.07,2412401,https://a.ltrbxd.com/resized/sm/upload/r0/m8/t4/gs/7m1wKo1rM9QL5DMJCAs66bDQVYC-0-1000-0-1500-crop.jpg?v=7267a24218,John Goodman,Billy Crystal,Mary Gibbs
Shrek,"Andrew Adamson, Vicky Jenson",4.07,2405490,https://a.ltrbxd.com/resized/film-poster/5/1/3/4/4/51344-shrek-0-1000-0-1500-crop.jpg?v=cd09df2c75,Mike Myers,Eddie Murphy,Cameron Diaz
Coco,Lee Unkrich,4.12,2394598,https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-1000-0-1500-crop.jpg?v=2a90bd6512,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Shutter Island,Martin Scorsese,4.11,2389531,https://a.ltrbxd.com/resized/film-poster/4/5/4/0/9/45409-shutter-island-0-1000-0-1500-crop.jpg?v=85dd4c38e3,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley
The Hunger Games,Gary Ross,3.64,2384237,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-1000-0-1500-crop.jpg?v=f4bfaf16df,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,4.36,2348831,https://a.ltrbxd.com/resized/sm/upload/3t/vq/0u/m6/1tX9ZlgVvWjAQhMs1vAfsYpi7VK-0-1000-0-1500-crop.jpg?v=30bbb824e1,Elijah Wood,Ian McKellen,Viggo Mortensen
Back to the Future,Robert Zemeckis,4.2,2348168,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-1000-0-1500-crop.jpg?v=6662417358,Michael J. Fox,Christopher Lloyd,Crispin Glover
Star Wars,George Lucas,4.18,2321610,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-1000-0-1500-crop.jpg?v=f1f1271bf5,Mark Hamill,Harrison Ford,Carrie Fisher
Se7en,David Fincher,4.32,2319277,https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-1000-0-1500-crop.jpg?v=76a14ef6b4,Morgan Freeman,Brad Pitt,Gwyneth Paltrow
Iron Man,Jon Favreau,3.69,2306176,https://a.ltrbxd.com/resized/film-poster/5/0/8/2/5/50825-iron-man-0-1000-0-1500-crop.jpg?v=f03c15122c,Robert Downey Jr.,Terrence Howard,Jeff Bridges
Thor: Ragnarok,Taika Waititi,3.73,2300734,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-1000-0-1500-crop.jpg?v=0369e00db5,Chris Hemsworth,Tom Hiddleston,Cate Blanchett
Eternal Sunshine of the Spotless Mind,Michel Gondry,4.25,2283027,https://a.ltrbxd.com/resized/sm/upload/ay/bp/kl/1y/uBfQ7IGpi0jXSP3GPCzp9Pzm10v-0-1000-0-1500-crop.jpg?v=116621c401,Jim Carrey,Kate Winslet,Kirsten Dunst
Mean Girls,Mark Waters,3.83,2289432,https://a.ltrbxd.com/resized/film-poster/4/6/0/4/9/46049-mean-girls-0-1000-0-1500-crop.jpg?v=e6378abb7b,Lindsay Lohan,Rachel McAdams,Lizzy Caplan
Spider-Man,Sam Raimi,3.77,2266927,https://a.ltrbxd.com/resized/film-poster/5/1/5/6/1/51561-spider-man-0-1000-0-1500-crop.jpg?v=a7394840f4,Tobey Maguire,Willem Dafoe,Kirsten Dunst
The Silence of the Lambs,Jonathan Demme,4.33,2259392,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/2/51782-the-silence-of-the-lambs-0-1000-0-1500-crop.jpg?v=18d88bdff4,Jodie Foster,Anthony Hopkins,Scott Glenn
Home Alone,Chris Columbus,3.79,2255307,https://a.ltrbxd.com/resized/sm/upload/e6/mn/oi/ky/8IWPBT1rkAaI8Kpk5V3WfQRklJ7-0-1000-0-1500-crop.jpg?v=cb22d36a0e,Macaulay Culkin,Joe Pesci,Daniel Stern
Kill Bill: Vol. 1,Quentin Tarantino,4.19,2248307,https://a.ltrbxd.com/resized/sm/upload/sw/w2/ep/v4/9O50TVszkz0dcP5g6Ej33UhR7vw-0-1000-0-1500-crop.jpg?v=5a65f5202f,Uma Thurman,Lucy Liu,Vivica A. Fox
The Lion King,"Roger Allers, Rob Minkoff",4.21,2248037,https://a.ltrbxd.com/resized/sm/upload/lz/96/yu/mf/ztuEReeV6ofpU1HxUV9AsR6aLoe-0-1000-0-1500-crop.jpg?v=47499379fa,Matthew Broderick,Moira Kelly,Nathan Lane
Black Swan,Darren Aronofsky,4.14,2208820,https://a.ltrbxd.com/resized/sm/upload/yt/ae/iz/kj/bIjkE9Og0nulRycj144sCcQcsZ6-0-1000-0-1500-crop.jpg?v=a571e4c644,Natalie Portman,Mila Kunis,Vincent Cassel
Harry Potter and the Chamber of Secrets,Chris Columbus,3.58,2193488,https://a.ltrbxd.com/resized/sm/upload/rj/yc/zl/ex/g8IQhqYYLERU0UxjVaySP46PFEZ-0-1000-0-1500-crop.jpg?v=d867145245,Daniel Radcliffe,Rupert Grint,Emma Watson
Scott Pilgrim vs. the World,Edgar Wright,3.87,2176509,https://a.ltrbxd.com/resized/sm/upload/vs/75/02/fx/2B5zjs5E3xerqAyowpw3QcOCyLq-0-1000-0-1500-crop.jpg?v=3aef2095df,Michael Cera,Mary Elizabeth Winstead,Ellen Wong
Spider-Man: Far from Home,Jon Watts,3.37,2186417,https://a.ltrbxd.com/resized/film-poster/3/6/2/9/7/7/362977-spider-man-far-from-home-0-1000-0-1500-crop.jpg?v=d139fbf2ae,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal
It,Andy Muschietti,3.43,2181867,https://a.ltrbxd.com/resized/sm/upload/w3/47/76/am/6uDpMsdn8bbZScDptbika5JEtSH-0-1000-0-1500-crop.jpg?v=ee603d8e3b,Jaeden Martell,Sophia Lillis,Jack Dylan Grazer
Harry Potter and the Goblet of Fire,Mike Newell,3.8,2158061,https://a.ltrbxd.com/resized/film-poster/5/1/4/5/0/51450-harry-potter-and-the-goblet-of-fire-0-1000-0-1500-crop.jpg?v=6b5c9896c9,Daniel Radcliffe,Rupert Grint,Emma Watson
Guardians of the Galaxy Vol. 2,James Gunn,3.51,2150124,https://a.ltrbxd.com/resized/sm/upload/1g/4f/6e/5b/prvWMj8cBFgVn5MLlsjlvH2hiIh-0-1000-0-1500-crop.jpg?v=edbe39cfb9,Chris Pratt,Zoe Saldaña,Dave Bautista
Captain America: Civil War,"Anthony Russo, Joe Russo",3.57,2149083,https://a.ltrbxd.com/resized/film-poster/1/9/4/4/0/2/194402-captain-america-civil-war-0-1000-0-1500-crop.jpg?v=06d3eb3f8a,Chris Evans,Robert Downey Jr.,Scarlett Johansson
Doctor Strange,Scott Derrickson,3.44,2132947,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/1/209381-doctor-strange-0-1000-0-1500-crop.jpg?v=1466da225d,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams
Jurassic Park,Steven Spielberg,4.11,2118242,https://a.ltrbxd.com/resized/sm/upload/1g/zz/ez/d8/yyCKYaW908ZbpexpnBJ3p8o87HA-0-1000-0-1500-crop.jpg?v=19a50874d0,Sam Neill,Laura Dern,Jeff Goldblum
10 Things I Hate About You,Gil Junger,3.98,2091593,https://a.ltrbxd.com/resized/sm/upload/hl/jj/br/9g/Kd5OkBc6GyUa1tIpxYUHLpyE2t-0-1000-0-1500-crop.jpg?v=a2db0a150a,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt
Harry Potter and the Deathly Hallows: Part 2,David Yates,3.95,2069407,https://a.ltrbxd.com/resized/film-poster/4/4/5/8/0/44580-harry-potter-and-the-deathly-hallows-part-2-0-1000-0-1500-crop.jpg?v=66f3769773,Daniel Radcliffe,Emma Watson,Rupert Grint
Glass Onion,Rian Johnson,3.46,2068713,https://a.ltrbxd.com/resized/film-poster/5/8/6/7/2/3/586723-glass-onion-a-knives-out-mystery-0-1000-0-1500-crop.jpg?v=33896b35cf,Daniel Craig,Edward Norton,Janelle Monáe
Spider-Man 2,Sam Raimi,3.88,2064802,https://a.ltrbxd.com/resized/sm/upload/pq/mi/kb/ck/7JtMVM58MnzxWeyubzLpXBiVnDC-0-1000-0-1500-crop.jpg?v=c5f2675b28,Tobey Maguire,Kirsten Dunst,James Franco
Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Justin K. Thompson",4.46,2073081,https://a.ltrbxd.com/resized/film-poster/4/9/7/6/3/1/497631-spider-man-across-the-spider-verse-0-1000-0-1500-crop.jpg?v=f2acbf1b8a,Shameik Moore,Hailee Steinfeld,Jason Schwartzman
The Menu,Mark Mylod,3.54,2063034,https://a.ltrbxd.com/resized/film-poster/5/2/1/3/2/3/521323-the-menu-0-1000-0-1500-crop.jpg?v=d00a0d03a8,Anya Taylor-Joy,Ralph Fiennes,Nicholas Hoult
The Perks of Being a Wallflower,Stephen Chbosky,3.91,2058853,https://a.ltrbxd.com/resized/sm/upload/zz/o0/mz/sv/fyYncUQh5gUTvxmQ4bigm2DVCv7-0-1000-0-1500-crop.jpg?v=1188bcf4af,Logan Lerman,Emma Watson,Ezra Miller
Call Me by Your Name,Luca Guadagnino,3.86,2058908,https://a.ltrbxd.com/resized/sm/upload/g9/9t/cc/7u/tcNniniS4rfqrLH0oORikJfnIwY-0-1000-0-1500-crop.jpg?v=f0c073f2b4,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg
Star Wars: The Force Awakens,J.J. Abrams,3.32,2035772,https://a.ltrbxd.com/resized/sm/upload/t1/n6/d1/k6/g2mqdMU3jaz6uEosF5aqJgbw7e9-0-1000-0-1500-crop.jpg?v=f105fa4be0,Harrison Ford,Mark Hamill,Carrie Fisher
The Empire Strikes Back,Irvin Kershner,4.41,2037223,https://a.ltrbxd.com/resized/sm/upload/mp/pz/lf/2i/7BuH8itoSrLExs2YZSsM01Qk2no-0-1000-0-1500-crop.jpg?v=27c6c6fba7,Mark Hamill,Harrison Ford,Carrie Fisher
Don't Look Up,Adam McKay,3.01,2037680,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-1000-0-1500-crop.jpg?v=a58cc4aba2,Jennifer Lawrence,Leonardo DiCaprio,Meryl Streep
Arrival,Denis Villeneuve,4.12,2022924,https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-1000-0-1500-crop.jpg?v=0fc28fdf2c,Amy Adams,Jeremy Renner,Forest Whitaker
Harry Potter and the Order of the Phoenix,David Yates,3.64,2020236,https://a.ltrbxd.com/resized/sm/upload/wd/w4/n0/yj/g6n8G0xPnBVUIKKK41sNmbZB5h4-0-1000-0-1500-crop.jpg?v=57af08b652,Daniel Radcliffe,Rupert Grint,Emma Watson
Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",3.71,2012986,https://a.ltrbxd.com/resized/sm/upload/he/p6/cc/lg/zt6b493XEL2OQ1bCSKccZ7V0iRY-0-1000-0-1500-crop.jpg?v=6296209106,Chris Evans,Scarlett Johansson,Sebastian Stan
The Shawshank Redemption,Frank Darabont,4.55,2008210,https://a.ltrbxd.com/resized/sm/upload/7l/hn/46/uz/zGINvGjdlO6TJRu9wESQvWlOKVT-0-1000-0-1500-crop.jpg?v=8736d1c395,Tim Robbins,Morgan Freeman,Bob Gunton
Hereditary,Ari Aster,3.97,1994425,https://a.ltrbxd.com/resized/film-poster/4/2/4/3/4/8/424348-hereditary-0-1000-0-1500-crop.jpg?v=470e48b681,Toni Collette,Alex Wolff,Gabriel Byrne
Avengers: Age of Ultron,Joss Whedon,3.09,1987229,https://a.ltrbxd.com/resized/film-poster/8/1/6/0/5/81605-avengers-age-of-ultron-0-1000-0-1500-crop.jpg?v=d315efaff1,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Her,Spike Jonze,4.02,1974383,https://a.ltrbxd.com/resized/sm/upload/au/nb/i6/lq/fsoTLnUXEUTNuVCBxAJMY0HPPd-0-1000-0-1500-crop.jpg?v=16789732be,Joaquin Phoenix,Scarlett Johansson,Amy Adams
The Godfather,Francis Ford Coppola,4.55,1972927,https://a.ltrbxd.com/resized/film-poster/5/1/8/1/8/51818-the-godfather-0-1000-0-1500-crop.jpg?v=bca8b67402,Marlon Brando,Al Pacino,James Caan
Little Women,Greta Gerwig,4.14,1953827,https://a.ltrbxd.com/resized/sm/upload/r4/np/q5/te/mSmiB8XjUnR1GSIljuCPGsk0cwX-0-1000-0-1500-crop.jpg?v=b3f603929c,Saoirse Ronan,Florence Pugh,Emma Watson
Harry Potter and the Deathly Hallows: Part 1,David Yates,3.68,1942086,https://a.ltrbxd.com/resized/sm/upload/u8/tj/88/3v/harry-potter-and-the-deathly-hallows-part-i-original-0-1000-0-1500-crop.jpg?v=a31050208d,Daniel Radcliffe,Emma Watson,Rupert Grint
Harry Potter and the Half-Blood Prince,David Yates,3.66,1934883,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/5/51385-harry-potter-and-the-half-blood-prince-0-1000-0-1500-crop.jpg?v=789e7859c8,Daniel Radcliffe,Rupert Grint,Emma Watson
The Dark Knight Rises,Christopher Nolan,3.73,1923673,https://a.ltrbxd.com/resized/film-poster/1/6/5/5/0/16550-the-dark-knight-rises-0-1000-0-1500-crop.jpg?v=a7db2d4314,Christian Bale,Michael Caine,Gary Oldman
The Breakfast Club,John Hughes,3.76,1916662,https://a.ltrbxd.com/resized/film-poster/5/0/5/1/8/50518-the-breakfast-club-0-1000-0-1500-crop.jpg?v=cce37bedf1,Emilio Estevez,Judd Nelson,Molly Ringwald
Saltburn,Emerald Fennell,3.44,1908935,https://a.ltrbxd.com/resized/film-poster/8/3/5/7/7/4/835774-saltburn-0-1000-0-1500-crop.jpg?v=b58cbd3b08,Barry Keoghan,Jacob Elordi,Rosamund Pike
Toy Story 3,Lee Unkrich,3.99,1899205,https://a.ltrbxd.com/resized/film-poster/4/6/4/5/8/46458-toy-story-3-0-1000-0-1500-crop.jpg?v=d46903002c,Tom Hanks,Tim Allen,Joan Cusack
Soul,Pete Docter,3.94,1899365,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/1/1/438511-soul-0-1000-0-1500-crop.jpg?v=8d0b74f9a8,Jamie Foxx,Tina Fey,Graham Norton
Jojo Rabbit,Taika Waititi,4.03,1889076,https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-1000-0-1500-crop.jpg?v=a5ad083635,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson
