Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
Parasite,Bong Joon-ho,4.56,3700003,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-1000-0-1500-crop.jpg?v=8f5653f710,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong
Joker,Todd Phillips,3.84,3680263,https://a.ltrbxd.com/resized/film-poster/4/0/6/7/7/5/406775-joker-0-1000-0-1500-crop.jpg?v=e4ea7f98cc,Joaquin Phoenix,Robert De Niro,Zazie Beetz
Fight Club,David Fincher,4.27,3607661,https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-1000-0-1500-crop.jpg?v=768b32dfa4,Edward Norton,Brad Pitt,Helena Bonham Carter
Barbie,Greta Gerwig,3.88,3427432,https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-1000-0-1500-crop.jpg?v=1b83dc7a71,Margot Robbie,Ryan Gosling,America Ferrera
The Dark Knight,Christopher Nolan,4.47,3392560,https://a.ltrbxd.com/resized/sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-1000-0-1500-crop.jpg?v=2d0ce4be25,Christian Bale,Heath Ledger,Michael Caine
Interstellar,Christopher Nolan,4.34,3373029,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-1000-0-1500-crop.jpg?v=7ad89e6666,Matthew McConaughey,Anne Hathaway,Jessica Chastain
Inception,Christopher Nolan,4.19,3315848,https://a.ltrbxd.com/resized/sm/upload/sv/95/s9/4j/inception-0-1000-0-1500-crop.jpg?v=30d7224316,Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe
Spider-Man: Into the Spider-Verse,"Rodney Rothman, Peter Ramsey",4.42,3306823,https://a.ltrbxd.com/resized/film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-1000-0-1500-crop.jpg?v=538fe0ada6,Shameik Moore,Jake Johnson,Hailee Steinfeld
Pulp Fiction,Quentin Tarantino,4.27,3260745,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-1000-0-1500-crop.jpg?v=dee19a8077,John Travolta,Samuel L. Jackson,Uma Thurman
Get Out,Jordan Peele,4.16,3211333,https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-1000-0-1500-crop.jpg?v=136acec030,Daniel Kaluuya,Allison Williams,Bradley Whitford
Knives Out,Rian Johnson,3.99,3172687,https://a.ltrbxd.com/resized/film-poster/4/7/5/3/7/0/475370-knives-out-0-1000-0-1500-crop.jpg?v=7da76d742c,Daniel Craig,Chris Evans,Ana de Armas
The Wolf of Wall Street,Martin Scorsese,4.0,3086966,https://a.ltrbxd.com/resized/film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-1000-0-1500-crop.jpg?v=9fd1891260,Leonardo DiCaprio,Jonah Hill,Margot Robbie
Avengers: Infinity War,"Anthony Russo, Joe Russo",3.95,3062365,https://a.ltrbxd.com/resized/film-poster/2/2/6/6/6/1/226661-avengers-infinity-war-0-1000-0-1500-crop.jpg?v=8b35f60c0c,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
La La Land,Damien Chazelle,4.08,3066777,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-1000-0-1500-crop.jpg?v=053670ff84,Ryan Gosling,Emma Stone,John Legend
