Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
The Grand Budapest Hotel,Wes Anderson,4.24,2485981,https://a.ltrbxd.com/resized/film-poster/9/5/1/1/3/95113-the-grand-budapest-hotel-0-1000-0-1500-crop.jpg?v=6ac71cf4ba,Ralph Fiennes,F. Murray Abraham,Tony Revolori
Black Swan,Darren Aronofsky,4.14,2208571,https://a.ltrbxd.com/resized/sm/upload/yt/ae/iz/kj/bIjkE9Og0nulRycj144sCcQcsZ6-0-1000-0-1500-crop.jpg?v=a571e4c644,Natalie Portman,Mila Kunis,Vincent Cassel
Scott Pilgrim vs. the World,Edgar Wright,3.87,2176293,https://a.ltrbxd.com/resized/sm/upload/vs/75/02/fx/2B5zjs5E3xerqAyowpw3QcOCyLq-0-1000-0-1500-crop.jpg?v=3aef2095df,Michael Cera,Mary Elizabeth Winstead,Ellen Wong
Lady Bird,Greta Gerwig,3.86,2472222,https://a.ltrbxd.com/resized/film-poster/3/2/6/2/7/9/326279-lady-bird-0-1000-0-1500-crop.jpg?v=754ff28eb4,Saoirse Ronan,Laurie Metcalf,Tracy Letts
GoodFellas,Martin Scorsese,4.48,1551728,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-1000-0-1500-crop.jpg?v=c6c265f228,Ray Liotta,Robert De Niro,Joe Pesci
Before Sunrise,Richard Linklater,4.33,952484,https://a.ltrbxd.com/resized/film-poster/5/1/9/7/4/51974-before-sunrise-0-1000-0-1500-crop.jpg?v=006e8fedea,Ethan Hawke,Julie Delpy,Andrea Eckert
Back to the Future,Robert Zemeckis,4.2,2348027,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-1000-0-1500-crop.jpg?v=6662417358,Michael J. Fox,Christopher Lloyd,Crispin Glover
Aftersun,Charlotte Wells,4.24,889210,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-1000-0-1500-crop.jpg?v=5ce2118fca,Paul Mescal,Frankie Corio,Brooklyn Toulson
Good Will Hunting,Gus Van Sant,4.3,1800844,https://a.ltrbxd.com/resized/film-poster/5/1/6/2/1/51621-good-will-hunting-0-1000-0-1500-crop.jpg?v=acb4766abd,Matt Damon,Robin Williams,Ben Affleck
Inglourious Basterds,Quentin Tarantino,4.34,2593090,https://a.ltrbxd.com/resized/film-poster/4/1/3/5/2/41352-inglourious-basterds-0-1000-0-1500-crop.jpg?v=0c74c673e0,Brad Pitt,Mélanie Laurent,Christoph Waltz
